Name,Mid X,Mid Y,Layer,Rotation
D2,342.5,157.5,Top,0
CONN1,310.85,179.05,Top,0
CONN2,344.3,147.4,Top,0
IC5,359.62,123.63,Top,0
U1,326.9,169.5,Top,90
C4,316.6,175.2,Top,90
C5,324.2,161.1,Top,180
C6,326.5,177.2,Top,270
C8,326.5,118.8,Top,90
C9,326.6,115.2,Top,90
C10,326.6,111.8,Top,90
C11,331.5,177.3,Top,270
C12,337.1,179.9,Top,90
C15,349.6,157.2,Top,90
C16,354.2,105,Top,90
C17,359.9,176.5,Top,90
C18,374.5,119.4,Top,90
C19,381.5,118.9,Top,0
C14,341.6,125.4,Top,270
IC7,375.7,114.65,Top,0
LED1,313.4,144.4,Top,270
IC2,341.1,172,Top,180
U2,360.43,113.17,Top,0
J1,311.1,158.93,Top,0
U3,382.5,175.4,Top,270
U4,382,163.9,Top,270
CONN3,395.9,143.9,Top,270
IC3,357.5,161.4,Top,90
IC6,368.1,161.4,Top,90
RLY1,374.15,149.3,Top,0
RLY2,374.25,137.3,Top,0
R1,304.3,172.34,Top,180
R2,304.3,168.94,Top,180
R3,304.4,165.5,Top,180
R4,313.4,147.7,Top,0
R5,316.6,171.2,Top,180
R6,346.1,160.9,Top,0
R7,351.9,124.7,Top,0
R8,351.9,120.5,Top,0
R9,368.2,171.2,Top,0
R10,368.1,125,Top,180
R11,368.2,119.8,Top,0
R13,375.7,179.3,Top,180
R15,376,171.3,Top,180
R16,377.1,159.7,Top,180
R17,380.9,179.2,Top,0
R18,382,167.8,Top,180
R19,385.3,119.5,Top,180
R20,385.4,116.2,Top,180
R12,365.72,103.9,Top,0
R14,374.92,103.9,Top,0
R21,384.52,105.6,Top,0
IC4,359.81,171.53,Top,0
D1,312.1,138,Top,0
D3,353.4,134.6,Top,0
L1,308.3,127.8,Top,0
C1,303.7,151.3,Top,0
C2,303.6,145.4,Top,0
C3,303.7,139.3,Top,0
C13,341.9,135.5,Top,0
C7,326.1,128.2,Top,0
X1,329,158.9,Top,270
X2,351.8,177.7,Top,180
LD1,341.7,130.1,Top,0
IC1,317.92,114.43,Top,0
