Name,Mid X,Mid Y,Layer,Rotation
CONN3,538.8,502,Top,90
D1,443.6,496.4,Top,180
CONN2,508.37,493.7,Top,90
Y1,454.5,506.6,Top,90
CONN1,438.88,531.9,Top,90
IC5,503.1,510,Top,90
C1,434,540.4,Top,90
C2,436.1,485.6,Top,270
C3,511.3,528,Top,90
C5,443.4,488.5,Top,90
C6,453.7,500.4,Top,270
C16,453.7,513.1,Top,270
C19,493.9,489.6,Top,270
C4,458.4,500.2,Top,180
C7,461.7,500.1,Top,0
C9,477.6,510.2,Top,270
C10,484.8,479.9,Top,90
C11,475.8,499.8,Top,90
C13,463.2,515.7,Top,90
C14,489.6,507.9,Top,180
C15,472.4,495.4,Top,0
C17,492.9,479.7,Top,90
C21,508.9,509.1,Top,180
LED1,499,501.3,Top,270
LED3,453.4,519.7,Top,270
IC1,512.1,477.9,Top,90
IC6,477.1,535.7,Top,90
IC7,460.5,536.9,Top,90
RLY1,475.35,472,Top,0
RLY2,493.65,529.4,Top,0
R1,436.2,492,Top,0
R2,436.1,488.9,Top,0
R3,511.15,470.9,Top,180
R4,494.5,501.3,Top,180
R5,511.1,534.3,Top,0
R6,443,492,Top,0
R7,443.1,485.4,Top,180
R8,511,531.1,Top,180
R9,467,517.4,Top,270
R10,497.8,480.8,Top,90
R11,476.3,528.3,Top,0
R12,453.5,516.2,Top,180
R13,463.6,528.5,Top,0
R14,512,502.4,Top,0
R21,483.8,509.8,Top,0
R22,474,516.3,Top,0
R23,472.1,499.8,Top,270
R27,475.8,493.7,Top,0
R28,475.9,496.7,Top,0
IC4,500.92,489.13,Top,0
D2,484.4,492.3,Top,0
D3,504.6,469.1,Top,270
J1,483.81,517.41,Top,180
IC2,468.9,507.3,Top,0
L1,470.3,485.7,Top,180
C8,454.3,484.4,Top,270
C12,459,484.4,Top,270
C18,495.7,509.5,Top,180
C20,495.9,470.3,Top,270
L2,433.9,522.7,Top,270
IC3,484.62,485.53,Top,0
